transaction_id,customer_id,transaction_date,amount,transaction_type,merchant_name,merchant_category,location,ip_address,fraud_flag
TXN_special_34,CUST_special_34,2025-02-04,1032,Refund,"Gutierrez, Avila and Perez",Online Services,"Brianberg, Namibia",10.200.11.87322,true
TXN_special_201,CUST_special_201,2024-10-02,5579,Refund,Olsen-Haley,Online Services,"Jamesstad, Aruba",10.200.11.90002,true
TXN_special_346,CUST_special_346,2024-12-19,9540,Refund,Taylor LLC,Online Services,"North Jamesfurt, Malta",10.200.11.43974,true
TXN_special_110,CUST_special_110,2024-06-28,226,Refund,"Dyer, Perez and Morgan",Online Services,"West Lisa, Panama",10.200.11.15274,true
TXN_special_101,CUST_special_101,2024-12-30,8866,Refund,Archer and Sons,Online Services,"Carlsontown, Ghana",10.200.11.77073,true
TXN_special_609,CUST_special_609,2024-08-16,1199,Refund,Jordan Group,Online Services,"Strongstad, Brunei Darussalam",10.200.11.28716,true
TXN_special_194,CUST_special_194,2024-08-20,3617,Refund,Mejia-Reynolds,Online Services,"Lake Mackenzie, Austria",10.200.11.10542,true
TXN_special_465,CUST_special_465,2024-08-09,5184,Refund,Green-Higgins,Online Services,"Ramosmouth, Saint Barthelemy",10.200.11.50806,true
TXN_special_509,CUST_special_509,2024-06-20,3408,Refund,"Grant, Young and Murphy",Online Services,"Lake Jessica, Bahrain",10.200.11.92721,true
TXN_special_407,CUST_special_407,2025-04-29,8509,Refund,Brown-Butler,Online Services,"Millershire, Nepal",10.200.11.44411,true
TXN_special_206,CUST_special_206,2025-03-31,9401,Refund,Cooper Inc,Online Services,"Port Kimland, Saint Martin",10.200.11.28618,true
TXN_special_84,CUST_special_84,2024-12-21,7101,Refund,"Villegas, Gaines and Shelton",Online Services,"Craigmouth, Netherlands",10.200.11.54604,true
TXN_special_495,CUST_special_495,2024-12-13,8365,Refund,King-Smith,Online Services,"Kevinbury, Bahamas",10.200.11.84139,true
TXN_special_362,CUST_special_362,2024-07-21,7386,Refund,"Barker, Rodriguez and Adkins",Online Services,"North Rachel, Cook Islands",10.200.11.50659,true
